Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,"9,510","9,473","14,434","38,598","12,459","13,768","10,220","9,812","9,465","10,530","8,114","6,909","5,736","7,300","5,714","7,832","15,997","13,967","11,814"
Benin,0,0,0,0,0,0,"1,226","1,290",0,"1,375",0,"1,753","2,261","2,288","1,869","1,416","1,646","2,182","2,138"
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,"4,233","4,032","4,860","4,205","5,224","8,083","6,472","7,834","7,982","9,024","7,001","7,963","6,294","5,632","5,379","3,974","4,144","4,294"
Burundi,0,0,0,0,0,0,0,0,0,"1,183","2,677","2,233","2,263","3,411","2,974","3,799","5,853","4,414","2,481"
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,"1,811","7,673","4,943","4,536","3,808","3,209","4,349","4,398","3,440","2,639","3,195","3,256"
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,"1,442","1,026",0,"1,763","2,668","3,689","1,292"
Chad,0,0,0,"1,021",0,0,0,0,"1,018",0,0,"1,220","1,359","1,881","1,720","1,572","1,686","2,088","1,948"
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,870",0,0,0,0,0
Cote D'Ivoire,0,0,0,0,0,0,0,0,"1,249","18,156","1,023","1,389","1,534","3,261","4,069","2,604","3,340","3,222","3,133"
Democratic Republic of the Congo,"3,856",0,"2,152",0,"13,613","15,322","12,970","14,372","17,940","21,168","23,476","23,748","21,601","30,918","25,502","39,054","33,997","27,458","18,030"
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,"1,681","1,607","2,138","3,327","1,086","1,357",0,"1,169","1,121","1,581",0,"1,621",0,0,0,0,0,0
Gabon,"2,016","1,693","1,141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,"6,108","1,717","2,376","2,103","1,575","2,037","3,125","4,622","3,889","3,378","3,859","3,259","2,855","2,506","2,200","2,137","1,264",0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,067",0,0,"1,174","1,267"
Guinea-Bissau,0,0,0,"1,137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,"48,767","48,286","47,697","51,842","25,403","44,328","40,079",0,0,0,"26,017",0,0,0,0,"15,061",0,0,0
Liberia,0,0,0,0,0,0,0,0,0,"1,706","1,422",0,"1,725","1,191","2,288","1,379","1,259",0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,"3,355","5,775","4,767","3,457","5,070","6,464","7,486","8,048","8,915","8,206","6,674","5,516","3,723","4,490","3,799","4,000","3,613","2,967"
Mali,0,0,0,"1,309","1,012","1,285","1,914","1,782","1,227","2,331","3,006","2,128","1,894","1,680","2,309","1,544","1,344","1,050","1,001"
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
